,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,new_addition,dependent_project_count,github_dependent_project_count,updated_github_id,trending,labels
53,macwire,softwaremill/macwire,di,https://github.com/softwaremill/macwire,https://github.com/softwaremill/macwire,Apache-2.0,2013-03-17 13:20:04,2023-02-22 00:23:02,2023-02-22 00:22:31,713,10.0,69.0,63,158.0,52.0,69.0,1216,2022-08-23 07:40:39,2.5.8,16.0,Lightweight and Nonintrusive Scala Dependency Injection Library.,40.0,19,True,2,,,,,True,,,,,
54,colossus,tumblr/colossus,web-frameworks,https://github.com/tumblr/colossus,https://github.com/tumblr/colossus,Apache-2.0,2014-11-11 16:06:06,2021-08-14 08:40:07,2018-11-08 17:52:05,1325,,96.0,77,411.0,3.0,270.0,1150,2018-01-24 17:31:20,0.11.0,32.0,I/O and Microservice library for Scala.,28.0,19,False,2,,,,,,,,,,
55,skinny-framework,skinny-framework/skinny-framework,web-frameworks,https://github.com/skinny-framework/skinny-framework,https://github.com/skinny-framework/skinny-framework,MIT,2013-09-24 07:39:24,2022-12-14 08:22:49,2022-12-14 08:22:22,1996,,69.0,46,287.0,20.0,134.0,737,2022-12-14 08:24:58,4.0.1,100.0,Scala on Rails - A full-stack web app framework for rapid development in Scala.,32.0,19,True,2,11842.0,111.0,,,,,,,,
56,specs2,etorreborre/specs2,test,https://github.com/etorreborre/specs2,https://github.com/etorreborre/specs2,,2010-09-03 01:55:10,2023-03-31 08:02:50,2023-03-31 08:02:50,4661,22.0,202.0,29,494.0,2.0,638.0,731,2023-01-28 13:59:06,SPECS2-4.19.2,60.0,Software Specifications for Scala.,88.0,19,False,2,,,,,True,,,,,
57,scribe,outr/scribe,toolkits,https://github.com/outr/scribe,https://github.com/outr/scribe,MIT,2016-01-26 15:49:14,2023-04-05 00:54:55,2023-03-29 19:13:26,1194,84.0,35.0,8,280.0,16.0,127.0,448,2023-02-22 17:32:15,3.11.1,34.0,The fastest logging library in the world. Built from scratch in Scala and programmatically configurable.,17.0,19,True,2,,,,,,,,,,
58,mdoc,scalameta/mdoc,sbt,https://github.com/scalameta/mdoc,https://github.com/scalameta/mdoc,Apache-2.0,2017-10-23 07:00:47,2023-04-01 17:56:30,2023-03-20 00:45:53,1233,36.0,68.0,11,571.0,46.0,143.0,361,2023-02-07 19:04:02,2.3.7,64.0,Typechecked markdown documentation for Scala.,43.0,19,True,2,,,,,,,,,,
59,play-json,playframework/play-json,json,https://github.com/playframework/play-json,https://github.com/playframework/play-json,Apache-2.0,2016-12-06 03:45:35,2023-04-01 21:03:24,2023-04-01 21:03:24,1154,40.0,127.0,20,753.0,37.0,74.0,343,2023-01-24 07:38:59,2.9.4,12.0,The Play JSON library.,62.0,19,True,2,,,,,,,,,,['play']
60,diffson,gnieh/diffson,json,https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2023-04-01 11:30:54,2023-04-01 11:30:37,468,45.0,47.0,12,291.0,5.0,43.0,295,2023-03-03 08:34:40,4.4.0,14.0,A scala diff/patch library for Json.,31.0,19,True,2,,,,,,,,,,
61,Dsl.scala,ThoughtWorksInc/Dsl.scala,toolkits,https://github.com/ThoughtWorksInc/Dsl.scala,https://github.com/ThoughtWorksInc/Dsl.scala,Apache-2.0,2017-10-14 01:21:02,2023-03-28 20:18:28,2023-01-28 04:04:28,1750,63.0,29.0,29,636.0,6.0,18.0,255,2023-01-26 02:47:03,2.0.0,17.0,A framework to create embedded Domain-Specific Languages in Scala.,5.0,19,True,2,,,,,,,,,,
62,cornichon,agourlay/cornichon,test,https://github.com/agourlay/cornichon,https://github.com/agourlay/cornichon,Apache-2.0,2015-07-27 09:14:49,2023-03-30 13:01:15,2023-03-30 13:01:15,3120,65.0,28.0,12,603.0,24.0,129.0,222,2023-03-17 08:47:06,0.20.7,72.0,Scala DSL for testing HTTP JSON API.,18.0,19,True,2,,,,,True,,,,,
63,stryker4s,stryker-mutator/stryker4s,test,https://github.com/stryker-mutator/stryker4s,https://github.com/stryker-mutator/stryker4s,Apache-2.0,2018-06-20 14:14:40,2023-03-31 00:08:13,2023-03-31 00:08:12,1208,48.0,28.0,6,1170.0,31.0,120.0,174,2022-01-03 16:34:16,0.14.3,38.0,Mutation testing for Scala.,29.0,19,True,2,,,,,True,,,,,
64,scalatra,scalatra/scalatra,web-frameworks,https://github.com/scalatra/scalatra,https://github.com/scalatra/scalatra,,2009-05-31 09:20:32,2023-03-30 22:47:22,2023-03-30 22:47:22,3908,24.0,322.0,84,1073.0,62.0,367.0,2587,,,,"Tiny Scala high-performance, async web framework, inspired by Sinatra.",134.0,18,False,3,,,,,,,,,,
