,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,trending
294,proto,zero-deps/proto,data,['scala3'],https://github.com/zero-deps/proto,https://github.com/zero-deps/proto,MIT,2019-03-15 13:27:19,2024-09-21 15:43:43,2024-09-20 21:37:35,343.0,,3.0,6.0,10.0,,19.0,33.0,2024-09-15 19:42:09,2.1.3,,,17.0,Lightweight and fast serialization library for Scala 2/3 based on Protocol Buffers with macros.,9.0,11,True,3.0,,,,,,,,
295,gridscale,openmole/gridscale,bigdata,['scala3'],https://github.com/openmole/gridscale,https://github.com/openmole/gridscale,AGPL-3.0,2012-09-28 10:13:23,2025-11-26 16:34:24,2025-11-26 16:34:13,1190.0,9.0,8.0,6.0,12.0,4.0,8.0,28.0,,,,,,"Scala library for accessing various file, batch systems, job schedulers and grid middlewares.",5.0,11,True,3.0,,,,,,,,
296,molecule,scalamolecule/molecule,db-clients,"['scala3', 'scalajs']",https://github.com/scalamolecule/molecule,https://github.com/scalamolecule/molecule,Apache-2.0,2022-08-28 09:13:41,2026-01-19 10:34:53,2026-01-19 10:33:56,640.0,34.0,,3.0,,,2.0,20.0,2026-01-18 21:24:02,0.30.0,,,38.0,Scala 3 library to compose domain-tailored data from SQL databases.,,11,True,3.0,,,,,,,,
297,subcut,dickwall/subcut,di,,https://github.com/dickwall/subcut,https://github.com/dickwall/subcut,,2011-05-30 23:58:27,2020-10-12 22:18:41,2018-05-17 21:40:26,92.0,,33.0,24.0,17.0,8.0,21.0,405.0,,,,,,Scala Uniquely Bound Classes Under Traits.,11.0,10,False,3.0,,,,,,,,
298,replesent,marconilanna/replesent,others,,https://github.com/marconilanna/REPLesent,https://github.com/marconilanna/REPLesent,Apache-2.0,2015-02-02 02:37:44,2019-10-02 19:39:29,2019-08-27 14:36:48,73.0,,34.0,13.0,13.0,5.0,,398.0,,,,,,A neat little tool to build presentations using the Scala REPL.,9.0,10,False,3.0,,,,,,,,
299,scalatex,lihaoyi/scalatex,env,['scalajs'],https://github.com/lihaoyi/Scalatex,https://github.com/lihaoyi/Scalatex,,2014-12-19 04:14:12,2020-02-21 06:44:18,2020-02-21 06:44:18,232.0,,38.0,13.0,32.0,29.0,21.0,291.0,,,,,,"Programmable, Typesafe Document Generation.",16.0,10,False,2.0,,,,,,,,
300,octopus,krzemin/octopus,data,['scalajs'],https://github.com/krzemin/octopus,https://github.com/krzemin/octopus,Apache-2.0,2016-12-10 16:51:09,2024-06-24 17:37:16,2020-11-04 07:51:59,121.0,,22.0,6.0,122.0,13.0,8.0,152.0,,,,,,Scala library for boilerplate-free validation.,9.0,10,False,3.0,,,,,,,,
301,sbt-groll,sbt/sbt-groll,sbt,,https://github.com/sbt/sbt-groll,https://github.com/sbt/sbt-groll,Apache-2.0,2012-10-21 20:43:30,2021-12-17 12:41:12,2021-12-17 12:40:44,126.0,,7.0,6.0,23.0,1.0,4.0,132.0,2021-12-17 12:41:14,7.1.0,,,3.0,sbt plugin to roll the Git history.,8.0,10,False,3.0,,,,,,,,
302,roshttp,hmil/roshttp,http,['scalajs'],https://github.com/hmil/RosHTTP,https://github.com/hmil/RosHTTP,MIT,2016-02-26 12:29:57,2021-06-06 09:38:29,2021-06-06 09:38:29,135.0,,24.0,4.0,49.0,18.0,28.0,126.0,,,,,,Unified Scala.js + Scala HTTP client API.,13.0,10,False,3.0,,,,,,,,
303,beard,zalando/beard,templating,,https://github.com/zalando/beard,https://github.com/zalando/beard,,2015-07-09 09:11:25,2023-11-13 14:22:01,2023-11-13 14:22:01,241.0,,28.0,17.0,55.0,,32.0,122.0,,,,,,"A lightweight, logicless templating engine, written in Scala and inspired by Mustache.",25.0,10,False,3.0,,,,,,,,
